Sample,t_mean_Carbon,t_mean_d15N,t_mean_Nitrogen,t_mean_Phosphorus,t_std_d15N,t_std_Nitrogen,,,,,,,,,,,,,,,,
ABV_HAIN_0010_PIGL,54.05615209,-2.881853678,0.664254478,0.023264702,0.403387368,0.05336762,,,,,,,,,,,,,,,,
ABV_HAIN_0010_SHCA,49.9688356,-2.768944004,3.027165399,0.165735508,0.326949568,0.074874238,,,,,,,,,,,,,,,,
ABV_HAIN_0010_VNK1,51.63971487,-2.627039282,2.607303047,0.169579057,0.647931541,0.085887378,,,,,,,,,,,,,,,,
ABV_HAIN_0011_Grey,37.3198128,-9.757931273,0.440756954,0.043970685,3.768273642,0.410646423,,,,,,,,,,,,,,,,
ABV_HAIN_0011_Olive,51.37473345,-2.388258209,3.012999936,0.255034781,0.367712331,0.049031041,,,,,,,,,,,,,,,,
ABV_HAIN_0012_ARUV,54.43233871,-4.556953939,0.742367035,0.006144545,0.394227644,0.088615067,,,,,,,,,,,,,,,,
ABV_HAIN_0012_BULK,48.37804845,-2.212571364,3.436872833,0.177372979,0.470884521,0.053478224,,,,,,,,,,,,,,,,
ABV_HAIN_0012_CAREXI,45.82576724,-2.637701527,1.478980472,0.124189144,0.523568821,0.064194205,,,,,,,,,,,,,,,,
ABV_HAIN_0013_Betula,51.97804327,-2.980302518,2.237888954,0.159724,0.398937145,0.069285589,,,,,,,,,,,,,,,,
ABV_HAIN_0013_POBA,52.74267518,-3.422007628,1.970782561,0.134586035,0.390916518,0.066771031,,,,,,,,,,,,,,,,
ABV_HAIN_0013_Salix_Skinny,41.35674236,-10.28515276,0.379717297,0.026127181,3.660702741,0.390471693,,,,,,,,,,,,,,,,
ABV_HAIN_0013_SALIXFAT,51.45699022,-3.859298103,1.75649134,0.183341394,0.40763598,0.053012423,,,,,,,,,,,,,,,,
ABV_HAIN_0014_Grass,43.75307987,-3.981640177,0.950433087,0.071034155,0.430196083,0.054170569,,,,,,,,,,,,,,,,
ABV_HAIN_0014_PINK,51.05946273,-4.457319696,1.578641414,0.09716658,0.379256719,0.05932913,,,,,,,,,,,,,,,,
ABV_HAIN_0014_Red,50.29929083,-3.695087023,1.966966761,0.116623049,0.443382501,0.101301506,,,,,,,,,,,,,,,,
ABV_HAIN_0015_Bulkgrass,45.08503686,-2.566675064,1.527066814,0.106569702,0.415950865,0.045767348,,,,,,,,,,,,,,,,
ABV_HAIN_0015_REDGRASS,46.16884971,-3.117592182,1.69986331,0.106018736,0.418993387,0.045958249,,,,,,,,,,,,,,,,
ABV_HAIN_0016_UNI,51.52697864,-2.396895289,1.939525965,0.159892897,0.334458673,0.042085096,,,,,,,,,,,,,,,,
ABV_HAIN_0017_PIGL,50.75813746,-3.530195261,0.715452955,0.058525502,0.305923715,0.044047496,,,,,,,,,,,,,,,,
ABV_HAIN_0017_PIGL_UN1,53.64718895,-2.891733159,0.824155974,0.038711831,0.369478536,0.055929635,,,,,,,,,,,,,,,,
ABV_HAIN_0018_BETULA,52.26405385,-2.405260075,2.722147174,0.208646385,0.323819707,0.038661023,,,,,,,,,,,,,,,,
ABV_HAIN_0018_EMN,39.18788321,-11.77703238,-0.631996643,-0.118215937,4.206245161,0.514062466,,,,,,,,,,,,,,,,
ABV_HAIN_0018_PIGL,51.33161339,-2.972118078,0.98932784,0.087343344,0.35042137,0.043473745,,,,,,,,,,,,,,,,
ABV_HAIN_0018_PODE,53.11178739,-2.121427954,2.247089325,0.171215758,0.474213264,0.06245319,,,,,,,,,,,,,,,,
ABV_HAIN_0019_PODE,51.90327282,-2.293139794,2.683106236,0.212788998,0.536058724,0.048899573,,,,,,,,,,,,,,,,
ABV_HAIN_0020_UN1,49.47439616,-2.365648103,2.429467785,0.220081707,0.337694872,0.042215706,,,,,,,,,,,,,,,,
ABV_HAIN_0021_longleaf,49.01741274,-2.370732818,2.296688134,0.254974728,0.398167847,0.066975276,,,,,,,,,,,,,,,,
ABV_HAIN_0021_POBA,37.55147881,-8.869648533,1.106183493,0.117202889,3.720854416,0.450316282,,,,,,,,,,,,,,,,
ABV_HAIN_0021_UN1,48.96995183,-2.97055318,2.6126129,0.233524365,0.389323732,0.051812805,,,,,,,,,,,,,,,,
ABV_HAIN_0021_WISPY,45.04864472,-2.180258649,3.283681345,0.240260436,0.569341596,0.086392925,,,,,,,,,,,,,,,,
ABV_HAIN_0022,45.39740811,-5.917067335,0.577237476,0.099670722,0.740683195,0.102387164,,,,,,,,,,,,,,,,
ABV_HAIN_0022_PIGL,53.62792136,-2.998278262,0.792018202,0.037962547,0.35193426,0.059278133,,,,,,,,,,,,,,,,
ABV_HAIN_0022_PODE,51.86892777,-2.577656765,2.471642798,0.146620892,0.255288974,0.054890255,,,,,,,,,,,,,,,,
ABV_HAIN_0022_UNI,49.1559907,-2.646523936,2.685638799,0.215901204,0.269591582,0.041944959,,,,,,,,,,,,,,,,
ABV_HAIN_0023_Farbs,48.9206858,-2.486279907,2.636992154,0.195724856,0.380079706,0.048329295,,,,,,,,,,,,,,,,
ABV_HAIN_0023_GRAM,44.17356385,-2.881971481,1.720866496,0.148015729,0.395249829,0.052494069,,,,,,,,,,,,,,,,
ABV_HAIN_0024_BETULA,51.65454617,-1.915260928,3.343140736,0.214515475,0.265446757,0.043972438,,,,,,,,,,,,,,,,
ABV_HAIN_0024_GR1,46.31959114,-2.462384991,1.980805765,0.211483986,0.359262887,0.042673982,,,,,,,,,,,,,,,,
ABV_HAIN_0024_PODE,54.00827879,-3.347005986,2.274422453,0.028659061,0.588643758,0.119551455,,,,,,,,,,,,,,,,
ABV_HAIN_0025_BETULA,52.54303989,-2.426967687,3.061979105,0.193366148,0.275671895,0.046036632,,,,,,,,,,,,,,,,
ABV_HAIN_0025_GRI,46.99203168,-2.383713705,1.933514563,0.168880568,0.328458969,0.050204533,,,,,,,,,,,,,,,,
ABV_HAIN_0026_BETULA,51.62329001,-2.753534413,2.867623564,0.191201331,0.241268264,0.039170706,,,,,,,,,,,,,,,,
ABV_HAIN_0026_MOSS,44.43836197,-5.703625661,0.497413643,0.074496717,0.708225793,0.102845665,,,,,,,,,,,,,,,,
ABV_HAIN_0026_PIGL,51.59820567,-4.05975709,0.788406772,0.059743505,0.387139595,0.044604897,,,,,,,,,,,,,,,,
ABV_HAIN_0026_PIGL_UN1,53.46024683,-3.400900213,0.673176947,0.01330176,0.404114791,0.052086965,,,,,,,,,,,,,,,,
ABV_HAIN_0026_PIGL0001,53.62084979,-2.750279624,0.907182774,0.043299733,0.365005831,0.053969736,,,,,,,,,,,,,,,,
ABV_HAIN_0026_SALIX,52.16692586,-2.79288872,2.648819106,0.186167917,0.335105,0.045288793,,,,,,,,,,,,,,,,
ABV_HAIN_0027_BETULA,52.29683051,-3.152161625,2.325487259,0.140218114,0.242945184,0.039297833,,,,,,,,,,,,,,,,
ABV_HAIN_0027_Gram,44.31179969,-1.88107678,1.776759431,0.140823957,0.341183089,0.039519685,,,,,,,,,,,,,,,,
ABV_HAIN_0027_PIMA,53.51783973,-3.569029166,0.62494836,0.016775439,0.468229951,0.05994954,,,,,,,,,,,,,,,,
ABV_HAIN_0027_SALIX,51.48249767,-3.180581468,1.798041477,0.091459743,0.371156475,0.073345283,,,,,,,,,,,,,,,,
ABV_HAIN_0027_UN1,50.93289606,-4.231822232,1.937797298,0.112703323,0.331324926,0.055402171,,,,,,,,,,,,,,,,
ABV_HAIN_0028_HAIN28U1,46.991194,-0.156696025,4.192938681,0.345810995,0.432004838,0.059717651,,,,,,,,,,,,,,,,
ABV_HAIN_0028_UN1,44.93337301,-3.001357661,2.798819627,0.150299403,0.645954862,0.070747176,,,,,,,,,,,,,,,,
